name,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,class_conc.mean,class_conc.sd,class_ent,eq_num_attr,freq_class.mean,freq_class.sd,inst_to_attr,joint_ent.mean,joint_ent.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,ns_ratio,num_to_cat,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
autoPrice,0.17093472702085613,0.10701196483341145,2.243884484321616,0.14047220530625523,0.09433962264150944,0.0,0.10462925912833995,0.06222627621056579,0.9244571409964927,2.641692318159008,0.5,0.22680783547493033,10.6,2.8183927934114674,0.20757841080640813,0.34994883190664144,0.2243278486546483,15,0,0,2,159,15,5.412035931356486,,11,3.727272727272727,0.904534033733291,0.09090909090909091,0.19046043187868908,42.800000000000004,15.834813965858057,0.5,0.06428243465332248,10,0.6666666666666666,0.06289308176100629,2.0,1.0,1.6666666666666667,0.816496580927726,2.9523809523809526,1.3219754338182867,0.20271948824703734,0.10055483804113603,0.2897727272727273,0.10466735728878503,0.06666666666666667,0.21594402519207836
fri_c2_100_10,0.04123253706017467,0.04997585292276857,2.0,0.0,0.1,0.0,0.03294273334437651,0.041548824011740516,0.9927744539878083,12.81646191641526,0.5,0.07071067811865477,10.0,2.9153135712213816,0.10291582916101413,0.07746088276642618,0.10291582916101413,10,0,0,2,100,10,24.819483700318205,,15,4.333333333333333,1.1126972805283735,0.06666666666666668,0.1110126547912873,80.66666666666667,39.43650713790581,0.5,0.04714045207910316,14,1.4,0.14,2.3333333333333335,1.2110601416389968,2.0,1.5275252316519468,3.5172413793103448,1.5028708160235105,0.16857586908375738,0.08691366205145258,0.23125,0.11378237372909994,0.09999999999999999,0.18309869006672583
fri_c3_100_25,0.03028681373822238,0.014171942136839751,2.0,0.0,0.25,0.0,0.01691041056549261,0.018767072574743058,0.9927744539878083,25.535692207464514,0.5,0.07071067811865477,4.0,2.953896539658249,0.04748726350280856,0.03887791432955961,0.04748726350280856,25,0,0,2,100,25,50.443088820208715,,17,4.529411764705882,1.280510008689093,0.058823529411764705,0.08964390337197899,109.9047619047619,83.41529574739785,0.5,0.12478354962115547,16,0.64,0.16,2.2857142857142856,1.3801311186847083,1.2307692307692308,0.4385290096535146,3.696969696969697,1.6485760614248377,0.15526350537145486,0.1482612454233266,0.21966911764705882,0.10940576970024955,0.039999999999999994,0.055168589626364686
fri_c2_100_25,0.03364842972055246,0.022187817787064905,2.0,0.0,0.25,0.0,0.020122371753175054,0.039527837134696146,0.9858150371789199,20.290169309605698,0.5,0.09899494936611662,4.0,2.9372291913864848,0.10174020827416823,0.048585845792435994,0.10174020827416823,25,0,0,2,100,25,40.16425200343773,,13,4.153846153846154,1.214231845389905,0.07692307692307693,0.15107308470762396,66.53333333333333,37.387658886817675,0.5,0.16317848796612636,12,0.48,0.12,2.0,0.8944271909999159,1.0909090909090908,0.30151134457776363,3.36,1.5513435037626795,0.16560894443600147,0.10431433864929825,0.25240384615384615,0.12399435212530592,0.04,0.09865988322190261
fri_c3_100_10,0.06396438769966173,0.08611969794964769,2.0,0.0,0.1,0.0,0.022111083707404017,0.021882902506809968,0.9709505944546688,19.509114744920897,0.5,0.14142135623730948,10.0,2.921181519478704,0.05021116267078885,0.04976907497596481,0.050211162670788866,10,0,0,2,100,10,39.1855971999855,,14,4.214285714285714,1.1217137594956024,0.07142857142857142,0.10174305063073522,71.86666666666666,37.99339573739257,0.5,0.10101525445522107,13,1.3,0.13,2.1666666666666665,1.1690451944500122,2.1666666666666665,1.3291601358251257,3.4074074074074074,1.500237398118128,0.16560894443600144,0.10431433864929825,0.24330357142857142,0.1137870894127843,0.1,0.12591636494859618
triazines,0.1978260325753854,0.20510158853873287,0.7238873426873127,0.5626437995653855,0.3225806451612903,0.0,0.03606626950263078,0.08869532288478181,0.9785423861930186,42.62086135654305,0.5,0.12165277955897592,3.1,1.679470493542334,0.5473397690209324,0.022959235337997107,0.024099055046484668,60,16,0,2,186,60,30.529244420840644,,42,7.166666666666667,2.448659829243252,0.023809523809523808,0.04166432498758726,1889.5526695526696,2296.6659509710144,0.5,0.06734350297014742,41,0.6833333333333333,0.22043010752688172,3.727272727272727,1.6787441193290353,1.9523809523809523,1.3592715135759474,6.265060240963855,2.682755851683378,0.08823928570187528,0.12526473619695414,0.09840029761904762,0.1147716699497476,0.016666666666666666,0.0324995373275518
fri_c1_100_10,0.04336587027973028,0.0424129998247394,2.0,0.0,0.1,0.0,0.02834200387388432,0.02838819991862728,0.9974015885677396,15.666272318072561,0.5,0.04242640687119289,10.0,2.933736054845519,0.06509315692088692,0.06366553372222059,0.06509315692088692,10,0,0,2,100,10,30.414171578710235,,14,4.357142857142857,1.336306209562122,0.07142857142857142,0.11947688175846102,81.46666666666667,47.91979053362322,0.5,0.0,13,1.3,0.13,2.1666666666666665,0.752772652709081,3.25,1.707825127659933,3.5555555555555554,1.6486202467362574,0.16586262949563357,0.10200062217145384,0.23660714285714285,0.13070760506557383,0.1,0.20097612524641642
fri_c0_100_10,0.03213031532340404,0.014815222042355575,2.0,0.0,0.1,0.0,0.022276066979393265,0.02005475134541853,0.9927744539878083,19.72308557098732,0.5,0.07071067811865477,10.0,2.9424387978140003,0.04637616533304927,0.05033565617380784,0.04637616533304927,10,0,0,2,100,10,38.733265681370014,,16,4.25,0.8563488385776752,0.0625,0.09255628917943214,77.86666666666667,26.508329927695478,0.5,0.0,15,1.5,0.15,3.0,1.4142135623730951,1.875,0.9910312089651149,3.4193548387096775,1.3607398367159707,0.2580005327400437,0.08275120230510061,0.234375,0.09270248108869579,0.1,0.1154243646196457
fri_c1_100_25,0.03324438933806086,0.03049877396212845,2.0,0.0,0.25,0.0,0.020313100038033147,0.02193914194949089,0.9974015885677396,21.77799309876753,0.5,0.04242640687119289,4.0,2.9516029888508455,0.05222011444264387,0.04579859971689425,0.052220114442643885,25,0,0,2,100,25,42.66945741492261,,11,4.0,1.3416407864998738,0.09090909090909093,0.12980404812289525,54.4,33.8317405207989,0.5,0.06428243465332248,10,0.4,0.1,1.6666666666666667,0.816496580927726,1.25,0.4629100498862757,3.238095238095238,1.609495632325913,0.156195752848282,0.14260610368791157,0.26988636363636365,0.1392451239557585,0.04,0.08314338022924449
fri_c1_100_5,0.06527994318505438,0.09506482008858891,2.0,0.0,0.05,0.0,0.04544104948920534,0.027809669712107007,0.9927744539878083,9.633055005382742,0.5,0.07071067811865477,20.0,2.8897153046906157,0.06482187727886303,0.10305914929719258,0.06482187727886303,5,0,0,2,100,5,18.406331350869028,,15,4.333333333333333,1.1126972805283737,0.06666666666666667,0.11159023681479018,80.66666666666667,39.4365071379058,0.5,0.14142135623730948,14,2.8,0.14,2.3333333333333335,1.2110601416389968,2.8,2.949576240750525,3.5172413793103448,1.5028708160235105,0.16857586908375738,0.08691366205145258,0.23125,0.11378237372909994,0.2,0.13031138712563448
fri_c0_100_50,0.028185803749266103,0.011993322440047256,2.0,0.0,0.5,0.0,0.012522315268840426,0.014188994346958219,0.99971144175281,35.79704884307291,0.5,0.014142135623730963,2.0,2.971784238978767,0.03274644398277249,0.027927202774042766,0.03274644398277249,50,0,0,2,100,50,70.61476271654823,,17,4.764705882352941,1.4374200745044001,0.058823529411764705,0.10397610019501936,124.97142857142859,84.40973281083929,0.5,0.20797258270192576,16,0.32,0.16,2.2857142857142856,1.1126972805283737,1.0666666666666667,0.25819888974716115,3.9393939393939394,1.7489174140628028,0.13991598583402168,0.10285670902169594,0.203125,0.13093223251636227,0.019999999999999997,0.042464720815997316
fri_c4_100_25,0.030529237967717344,0.013837529224348109,2.0,0.0,0.25,0.0,0.020118061879710276,0.026004727846816796,0.9953784388202258,21.204662093009848,0.5,0.05656854249492382,4.0,2.9484369485736845,0.06448372222819146,0.046941490246541304,0.06448372222819145,25,0,0,2,100,25,41.60623149149726,,14,3.9285714285714284,0.6157279262148818,0.07142857142857144,0.11621314256784603,56.800000000000004,15.918768152315659,0.5,0.10101525445522107,13,0.52,0.13,2.6,1.8165902124584952,1.625,0.7440238091428449,3.111111111111111,1.2194996872404222,0.24329970246121693,0.16535846204059385,0.26339285714285715,0.06902728796292437,0.04,0.07873219948641275
fri_c1_100_50,0.030690854120713984,0.012340586639105837,2.0,0.0,0.5,0.0,0.009155817223614877,0.009063231957799294,0.9895875212220555,48.889812907150336,0.5,0.08485281374238575,2.0,2.9693463408538383,0.02049720985660692,0.02024118036821786,0.02049720985660692,50,0,0,2,100,50,97.80846687875695,,12,3.9166666666666665,0.9962049198956218,0.08333333333333333,0.08957813586050128,51.6,20.240014372973693,0.5,0.11785113019775793,11,0.22,0.11,2.2,0.8366600265340756,1.375,1.0606601717798212,3.130434782608696,1.3916748518532023,0.20605956069785758,0.07141733960860029,0.2708333333333333,0.112542079672315,0.02,0.06913249365306759
fri_c4_100_10,0.07614809075356824,0.0912387201721278,2.0,0.0,0.1,0.0,0.026093910799845976,0.036289083909413516,0.9974015885677396,16.436044918978418,0.5,0.04242640687119289,10.0,2.936717793075306,0.0890200341527588,0.060683795492433655,0.0890200341527588,10,0,0,2,100,10,31.957727574066613,,15,4.266666666666667,1.0327955589886446,0.06666666666666667,0.10146545271784922,77.2,38.49897957831387,0.5,0.23570226039551584,14,1.4,0.14,2.3333333333333335,1.505545305418162,1.5555555555555556,0.7264831572567789,3.4482758620689653,1.4537195371222187,0.15936699691928946,0.12648818742533047,0.23541666666666666,0.10355475029917174,0.10000000000000002,0.1208337848172171
transplant,0.30214954024295326,0.2353414788239492,2.30999838306347,0.020373833017591342,0.022900763358778626,0.0,0.16929399229671682,0.09065102715387399,0.9478774073663798,1.4876864109528465,0.5,0.18892165909564243,43.666666666666664,2.6207271276553645,0.30489973494440004,0.6371486627744855,0.32527356796199136,3,0,0,2,131,3,2.6255249646205074,,2,1.0,0.0,0.5,0.18892165909564243,4.0,0.0,0.5,0.0,1,0.3333333333333333,0.007633587786259542,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.3333333333333333,0.5773502691896258
fri_c0_100_25,0.032775702494370604,0.013145194269755384,2.0,0.0,0.25,0.0,0.015423972922023223,0.01704020124845243,1.0,28.907129480155138,0.5,0.0,4.0,2.965406457922897,0.03989943148672239,0.03459354207710261,0.03989943148672239,25,0,0,2,100,25,56.814258960310276,,14,4.571428571428571,1.785164750607962,0.07142857142857144,0.08456741897236991,111.0095238095238,97.45268010467882,0.5,0.0,13,0.52,0.13,1.8571428571428572,1.0690449676496974,1.3,0.6749485577105528,3.7777777777777777,2.006400016357911,0.19850970594340375,0.24295722746013074,0.23660714285714285,0.14827700620816073,0.04,0.07302316711953596
fri_c3_100_5,0.1543466051015014,0.11396430884558507,2.0,0.0,0.05,0.0,0.045887417889841395,0.03653779564800249,0.9895875212220555,9.411855809483995,0.5,0.08485281374238575,20.0,2.884444864847647,0.08553989735203868,0.10514265637440845,0.08553989735203868,5,0,0,2,100,5,18.021775452182666,,19,4.894736842105263,1.5949481650269413,0.05263157894736843,0.08026636941135143,170.55238095238093,171.41185809179666,0.5,0.03721614637823934,18,3.6,0.18,2.25,1.2817398889233114,3.6,1.51657508881031,4.054054054054054,1.8995020684663937,0.13012251243963935,0.14286344412607582,0.19860197368421054,0.11891994274446356,0.20000000000000004,0.12015821760118418
fri_c2_100_50,0.03203226819058608,0.017105521976705527,2.0,0.0,0.5,0.0,0.017317980461553438,0.028089561610974294,0.9814538950336537,24.564440574529392,0.5,0.11313708498984758,2.0,2.9414996411577756,0.07049584611964356,0.039954253875877505,0.07049584611964356,50,0,0,2,100,50,49.05724812715138,,9,3.5555555555555554,1.130388330520878,0.1111111111111111,0.18563704132287584,34.13333333333333,15.156516750229917,0.5,0.07856742013183865,8,0.16,0.08,1.6,0.5477225575051661,1.1428571428571428,0.3779644730092273,2.823529411764706,1.4245742398014511,0.19706908487134,0.12184758058765026,0.3125,0.1316585902058806,0.020000000000000004,0.08438396475464618
fri_c4_100_50,0.031547419731596166,0.014948807592873078,2.0,0.0,0.5,0.0,0.013181791132818263,0.014265302504883068,0.9895875212220555,33.37751573317112,0.5,0.08485281374238575,2.0,2.9599391936133417,0.03442875252534912,0.02964832760871377,0.03442875252534911,50,0,0,2,100,50,66.45743053015211,,14,4.071428571428571,0.8287419301647447,0.07142857142857144,0.10560136529253943,62.266666666666666,19.803824201185307,0.5,0.10101525445522107,13,0.26,0.13,2.6,1.51657508881031,1.4444444444444444,1.0137937550497031,3.259259259259259,1.318291218923853,0.19825712630196757,0.11291388205586965,0.25,0.0933484992257096,0.019999999999999997,0.07220829949010883
kc1-top5,0.17796560916925988,0.16894482362676302,1.8351487344616713,0.7474228120850349,0.6482758620689655,0.0,0.06313493236397559,0.1345181687689377,0.30797532887291956,5.9021493458350145,0.5,0.6290812053314802,1.5425531914893618,2.090943864083914,0.7218431441541716,0.05218019925067626,0.03372354771879651,94,2,0,2,145,94,34.16944666396397,,8,3.125,0.6408699444616557,0.125,0.29812704508202975,23.333333333333332,5.656854249492381,0.5,0.0,7,0.07446808510638298,0.04827586206896552,1.75,0.9574271077563381,1.1666666666666667,0.408248290463863,2.4,1.1212238211627763,0.24337065668081773,0.1481265199364758,0.359375,0.08010874305770696,0.010638297872340425,0.050597824585675924
kc1-binary,0.22666009682411878,0.23378685340954589,1.8351487344616713,0.7474228120850349,0.6482758620689655,0.0,0.09711096826476355,0.12806325209765435,0.9784493292686188,6.104571414670253,0.5,0.12191496227354263,1.5425531914893618,2.653316651194555,0.6615848169427404,0.1602814125357351,0.11512073698062794,94,2,0,2,145,94,10.449541811671525,,22,5.181818181818182,1.4019158196439492,0.045454545454545456,0.07936841141023729,194.87619047619046,118.17202843160015,0.5,0.06428243465332248,21,0.22340425531914893,0.14482758620689656,3.0,1.4142135623730951,1.1666666666666667,0.3834824944236852,4.325581395348837,1.7555480792884157,0.14469624541433534,0.07160690024359485,0.1690340909090909,0.11978872573088602,0.010638297872340424,0.03993534233971923
datatrieve,0.2576021186977042,0.24327614753267957,2.1554068975034926,0.4685845250684223,0.06153846153846154,0.0,0.019678503906201114,0.022397939540504976,0.41823656965418116,9.993224866105033,0.5,0.5874425566780549,16.25,2.531791454893569,0.47611426193361694,0.04185201226410443,0.014617010101466932,8,1,0,2,130,8,50.500675377373405,,13,4.615384615384615,2.0223114472661203,0.07692307692307691,0.1381763444646921,124.01904761904763,142.13153032427562,0.5,0.16317848796612636,12,1.5,0.09230769230769231,1.5,0.7559289460184544,2.0,0.6324555320336759,3.84,2.1924111536540463,0.11285768786857539,0.13443720252321334,0.23978365384615385,0.1556428508323603,0.125,0.11274541866788827
MyIris,0.20922243392447848,0.11995019623784713,2.279010448380773,0.05742641939520074,0.02666666666666667,0.0,0.27232594204286165,0.14258948387896486,1.584962500721156,1.8824081456478539,0.3333333333333333,0.0,37.5,3.0219863138519676,0.38738046925935415,0.8419866352499615,0.42517984298139233,4,0,0,3,150,4,1.7067062028890763,,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
KungChi3,0.26013645421761594,0.2633044073422449,1.7572880267545419,0.40503632246261184,0.3170731707317073,0.0,0.03286932771026834,0.04722612323758654,0.5576611106650715,9.824100456005594,0.5,0.5231440413656571,3.1538461538461537,2.258184539667137,0.3970262103550321,0.05676459775247579,0.03391906239373772,39,0,0,2,123,39,29.957464622884565,,13,4.230769230769231,1.3008872711759818,0.0769230769230769,0.1468530423021425,69.99999999999999,38.248311509572986,0.5,0.16317848796612636,12,0.3076923076923077,0.0975609756097561,2.0,0.8944271909999159,1.2,0.4216370213557839,3.44,1.6093476939431082,0.15888394457504434,0.12956672693349294,0.24759615384615385,0.13469048385950544,0.02564102564102564,0.06547873986455216
KnuggetChase3,0.2477489310718651,0.1874652461560973,2.0681422841799666,0.4357104953167062,0.20103092783505155,0.0,0.01906501144571664,0.023622962358294967,0.6921053253628725,16.684380178382316,0.5,0.44467539847813814,4.9743589743589745,2.718765377780965,0.43298675553997723,0.041482231761874044,0.01932905359228097,39,0,0,2,194,39,48.85609974053465,,33,8.424242424242424,4.031363781574908,0.030303030303030304,0.058114950281240946,10780.226884226884,19579.2363768012,0.5,0.02142747821777415,32,0.8205128205128205,0.16494845360824742,2.1333333333333333,0.7432233529572065,1.391304347826087,0.7827184815397383,7.569230769230769,4.107802144887027,0.052464165646028973,0.12283701854860841,0.10664691347064394,0.14420994135630263,0.02564102564102564,0.03923077847927968
MindCave2,0.19963877347315057,0.18550001954959466,1.8681255263367518,0.2526042394139214,0.312,0.0,0.03648798758007079,0.019251386106257214,0.9358415530325216,13.285927674497103,0.5,0.2093036072312181,3.2051282051282053,2.733528523932237,0.25411838781632506,0.0704385554370365,0.02945912296126766,39,0,0,2,125,39,25.521349206353737,,24,5.833333333333333,2.407717061715384,0.041666666666666664,0.0601437890585457,695.9382395382396,1276.924287675247,0.5,0.11785113019775793,23,0.5897435897435898,0.184,2.090909090909091,1.4459976109624424,1.3529411764705883,0.701888209634219,4.9787234042553195,2.6084258263168714,0.08438009414748036,0.10272232753798198,0.15620930989583334,0.12343588397420867,0.025641025641025637,0.041865492076509234
breast-tissue,0.0474504239333122,0.036656161906773406,1.999743186071085,0.0,0.08490566037735849,0.0,0.0948196578844444,0.029929118400296,2.5646078191172523,11.150629738281204,0.16666666666666666,0.030811191733121742,11.777777777777779,4.33435432524185,0.07669041867037799,0.22999667994648793,0.07669041867037799,9,0,0,6,106,9,7.694661099179147,,43,6.651162790697675,2.068858909436294,0.02325581395348837,0.026230651568322057,1218.9587301587298,1318.619131706314,0.16666666666666666,0.034231631264836616,42,4.666666666666667,0.39622641509433965,4.2,2.250925735484551,4.666666666666667,1.414213562373095,5.741176470588235,2.366195163510552,0.1007404254289924,0.12415810849185689,0.1041061046511628,0.09800304391406332,0.1111111111111111,0.04407821703231656
fertility,0.08569779096328979,0.1525809138843264,1.1962699563880166,0.6209649008806893,0.09,0.0,0.06723036400183441,0.16255024909201604,0.5293608652873644,36.21793498882956,0.5,0.5374011537017761,11.11111111111111,1.7110148347216623,0.6131286876091494,0.014615986953718685,0.012257007558638315,9,3,0,2,100,9,80.84667653138912,,22,5.318181818181818,1.5239786161593025,0.04545454545454546,0.09440173892301089,215.44761904761907,131.6758803696236,0.5,0.25712973861328997,21,2.3333333333333335,0.21,3.0,1.2909944487358056,2.3333333333333335,1.3228756555322951,4.465116279069767,1.843248132138873,0.14054513353696532,0.09748841258442388,0.1640625,0.12920746283547616,0.1111111111111111,0.07085644308266366
parkinsons,0.1476102212616417,0.15729470578694232,2.319973081433599,0.009000632197165546,0.11282051282051282,0.0,0.05106460367040417,0.020259525038955423,0.8051250074646823,5.0393264167699705,0.5,0.358992673525478,8.863636363636363,2.9653297109687684,0.062288425080283726,0.15976837792951282,0.06251117275240549,22,0,0,2,195,22,13.52085269625215,,15,4.2,1.01418510567422,0.06666666666666667,0.13044202402027594,75.2,39.6614242234009,0.5,0.04714045207910316,14,0.6363636363636364,0.07179487179487179,2.3333333333333335,1.3662601021279464,1.4,0.6992058987801011,3.3793103448275863,1.4494775685311163,0.19028747628660592,0.15538328438946714,0.24375,0.09896224929595267,0.04545454545454544,0.09288632830950172
